127.0.0.1 - - [05/Aug/2023:13:49:19 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:49:20 +0200] "GET /spring-security-demo-03-custom-login-form/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:49:21 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:49:21 +0200] "GET /spring-security-demo-03-custom-login-form/css/styles.css HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:50:42 +0200] "GET /spring-security-demo-03-custom-login-form/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:50:42 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:50:42 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:23 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:23 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:24 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:24 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:25 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:25 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:25 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:25 +0200] "GET /spring-security-demo-03-custom-login-formcss/styles.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Aug/2023:13:51:26 +0200] "GET /spring-security-demo-03-custom-login-form/showMyLoginPage HTTP/1.1" 200 723
